,element_type,osmid,name,geometry,passengers
0,node,1830066645,Abzweigung Bennerstedt,POINT (10.4869702 53.3146462),5
1,node,8523611360,Lüneburger Straße,POINT (10.5227006 53.2288511),9
2,node,4363687998,"Karze, An den Hauskoppeln",POINT (10.6739869 53.314295),4
3,node,175237700,Universitätsallee,POINT (10.4052614 53.230091),6
4,node,957142825,"Artlenburg, Grünstraße",POINT (10.4921805 53.3719336),3
5,node,293938369,Bei Mönchsgarten,POINT (10.3904939 53.2529278),4
6,node,298511484,Hermann-Löns-Straße,POINT (10.4357546 53.2611082),11
7,node,114241120,Wilhelm-Leuschner-Straße,POINT (10.4442936 53.236347),8
8,node,1459109815,Graf-von-Moltke-Straße,POINT (10.4385436 53.2372693),16
9,node,414692562,St.-Stephanus-Platz,POINT (10.4347836 53.2385554),15
10,node,7960254627,Konrad-Adenauer-Straße,POINT (10.4319275 53.2377656),12
11,node,275404815,Waldfriedhof,POINT (10.429653 53.2361294),11
12,node,1872332223,Schäferfeld,POINT (10.4287246 53.2378491),7
13,node,279632687,Kurt-Schumacher-Straße,POINT (10.4269383 53.2401354),14
14,node,307769211,Blümchensaal,POINT (10.4230445 53.2433336),11
15,node,1053737986,Theodor-Heuss-Straße,POINT (10.4329576 53.2462219),5
16,node,301861007,Venusberg (Johanneum),POINT (10.4303141 53.2465477),11
17,node,301860995,Ziegelkamp,POINT (10.4276158 53.2474105),5
18,node,201192065,Am Schützenplatz,POINT (10.4236403 53.2487451),8
19,node,309164430,"Deutsch Evern, Triftstraße",POINT (10.4383763 53.2028361),5
20,node,272771855,Becklingen,POINT (10.638701 53.1685565),7
21,node,311743901,"Radbruch, Schäfer-Ast-Straße",POINT (10.2858188 53.3115371),6
22,node,4133634392,"Thomasburg, Radenbecker Weg",POINT (10.6537654 53.2297167),4
23,node,313574492,Abzweig Dumstorf,POINT (10.6967738 53.1893837),5
24,node,3790432850,"Köstorf, Abzw. Barskamp",POINT (10.7566624 53.2330487),3
25,node,1713950571,Abzweig Radenbeck,POINT (10.6206885 53.2012926),5
