name,x,y,passengers,cluster
Abzweigung Bennerstedt,10.4869702,53.3146462,3,12.0
Lüneburger Straße,10.5227006,53.2288511,2,13.0
"Karze, An den Hauskoppeln",10.6739869,53.314295,4,2.0
Universitätsallee,10.4052614,53.230091,11,32.0
"Artlenburg, Grünstraße",10.4921805,53.3719336,0,
Bei Mönchsgarten,10.3904939,53.2529278,3,40.0
Hermann-Löns-Straße,10.4357546,53.2611082,0,
Wilhelm-Leuschner-Straße,10.4442936,53.236347,12,36.0
Graf-von-Moltke-Straße,10.4385436,53.2372693,15,42.0
St.-Stephanus-Platz,10.4347836,53.2385554,9,36.0
Konrad-Adenauer-Straße,10.4319275,53.2377656,20,42.0
Waldfriedhof,10.429653,53.2361294,16,46.0
Schäferfeld,10.4287246,53.2378491,0,
Kurt-Schumacher-Straße,10.4269383,53.2401354,15,46.0
Blümchensaal,10.4230445,53.2433336,14,46.0
Theodor-Heuss-Straße,10.4329576,53.2462219,10,50.0
Venusberg (Johanneum),10.4303141,53.2465477,8,50.0
Ziegelkamp,10.4276158,53.2474105,0,
Am Schützenplatz,10.4236403,53.2487451,10,46.0
"Deutsch Evern, Triftstraße",10.4383763,53.2028361,0,
Becklingen,10.638701,53.1685565,8,1.0
"Radbruch, Schäfer-Ast-Straße",10.2858188,53.3115371,4,19.0
"Thomasburg, Radenbecker Weg",10.6537654,53.2297167,0,
Abzweig Dumstorf,10.6967738,53.1893837,7,1.0
"Köstorf, Abzw. Barskamp",10.7566624,53.2330487,3,2.0
Abzweig Radenbeck,10.6206885,53.2012926,5,7.0
Mitte / B216,10.6378781,53.1973134,3,7.0
Breetzer Straße,10.7248594,53.2821702,4,2.0
Wichernstraße,10.397792,53.2268409,15,35.0
Anna-Vogeley-Heim,10.3984829,53.2251001,3,32.0
Am Elsenbruch,10.4012942,53.2245326,6,32.0
Röntgenstraße / Kirche,10.4024801,53.2227054,9,35.0
Röntgenstraße,10.4028648,53.2207693,5,35.0
Planckstraße,10.404717,53.2192047,0,
Neetzebrücke,10.6150702,53.2650616,4,5.0
Reichenbachplatz,10.4106941,53.2531248,0,
Bürgeramt,10.4092892,53.2522431,14,48.0
"Radenbeck, Siedlung",10.6264241,53.2178751,10,7.0
Markt,10.7418278,53.1870816,11,3.0
Meisterweg,10.4317204,53.2599086,12,49.0
Hansestraße,10.4261391,53.2555935,0,
Henningstraße,10.4233245,53.2525633,12,49.0
Pulverweg (Nord),10.422458,53.2511748,11,49.0
Theodor-Haubach-Straße,10.4422643,53.2341433,17,36.0
Bülows Kamp,10.4459154,53.2314995,17,26.0
Klosterkamp,10.4460096,53.2292609,0,
Hermann-Wagner-Straße,10.4441928,53.2288883,19,36.0
Hinrich-Wilhelm-Kopf-Straße,10.4337268,53.2393598,22,42.0
"Handorf, Grundschule",10.3467072,53.3419322,0,
Im Kirchfelde,10.3196032,53.2800856,0,
"Barum, Am Sportplatz",10.4088761,53.3509372,12,20.0
Am Sande,10.4107075,53.2477583,12,45.0
Oedeme Dorf,10.3769693,53.228942,0,
Im Kamp,10.3850765,53.2222253,13,25.0
Scharnhorststraße/DJH,10.3971229,53.2300297,11,32.0
Blücherstraße,10.4000814,53.2311691,6,32.0
Imkerstieg,10.388762,53.2746341,0,
Neue Straße,10.431328,53.274525,0,
Danziger Weg,10.4383568,53.2816633,1,53.0
MTV-Platz,10.4049563,53.2353498,12,39.0
Kurpark,10.4043801,53.2384105,12,38.0
Uelzener Straße (Kurzentrum),10.4044333,53.2404345,11,38.0
Munstermannskamp,10.4052689,53.232103,0,
Osterwiese,10.3746107,53.2148267,6,25.0
Klosterweg,10.371994,53.2117385,8,25.0
Ginsterweg,10.3959836,53.2326736,9,34.0
Am Schwalbenberg,10.4223308,53.2459133,8,46.0
Wallstraße (Theater),10.4072015,53.245682,29,43.0
Postamt,10.4038332,53.2429593,14,38.0
Hasenburg,10.3940989,53.2255233,10,32.0
Eintracht Sportplatz,10.3854737,53.2211913,0,
Am Bahnhof Rettmer,10.3816755,53.21947,9,25.0
Wiesengrund,10.3746747,53.2134269,9,25.0
Pilgerpfad,10.3783934,53.2099019,0,
Am Wischfeld,10.3882696,53.2112187,12,27.0
Hessenweg (Mitte),10.3879839,53.2138366,12,27.0
Am Bäckfeld,10.3886319,53.2166547,12,32.0
Häcklinger Weg,10.387037,53.2197354,13,25.0
B 4 Parkplatz,10.345182,53.3345096,13,22.0
Stadttheater,10.4076949,53.2439859,0,
Sültenweg,10.3929476,53.244192,0,
Am Grasweg,10.3881566,53.2461189,7,45.0
Jägerstraße,10.3847644,53.2489566,0,
Johanna-Stegen-Straße,10.3874009,53.2494991,9,40.0
Vor dem Neuen Tore,10.3924213,53.2500778,5,40.0
Dörnbergstraße,10.3938125,53.2511306,10,40.0
Witzendorffstraße,10.3923654,53.2565779,5,41.0
Ebelingweg,10.3911893,53.2614652,14,41.0
Naruto-Straße,10.3852786,53.2693964,8,44.0
Krähornsberg,10.3867792,53.2706226,10,44.0
Teilfeld,10.3895463,53.2794573,10,44.0
Wilhelm-Hänel-Weg,10.4044742,53.2699592,11,52.0
Am Wildgehege,10.3891011,53.2686373,0,
Laffertstraße,10.3930618,53.255513,9,41.0
Schomakerstraße,10.3996894,53.2540821,0,
Am Springintgut,10.4002528,53.2521255,12,51.0
Am Graalwall,10.4027651,53.2509053,23,45.0
Neue Sülze,10.4040892,53.2478008,17,52.0
Lambertiplatz,10.4031072,53.2456516,14,45.0
Rathaus,10.4068106,53.2506572,15,50.0
Kefersteinstraße (UNI),10.4102138,53.2406193,11,39.0
Gut Willerding,10.4566119,53.225116,5,26.0
Bahnhof,10.4336107,53.2000625,0,
Von-Kleist-Weg,10.4311623,53.1971633,0,
"Deutsch Evern, Fritz-Reuter-Straße",10.4284361,53.1939183,8,18.0
"Deutsch Evern, Friedhof",10.4232358,53.1924397,0,
Deutsch Everner Weg,10.4159088,53.1860963,5,18.0
"Deutsch Evern, An der Ilmenau",10.4196648,53.1957057,7,18.0
"Deutsch Evern, Wandelfeld",10.4201711,53.1978557,8,18.0
