,bus,highway,lines,name,network,operator,public_transport,ref_name,shelter,wheelchair,latitude,longitude,id,bench,route_ref,tactile_paving,bin,lastcheck,passenger_information_display,name:HVV,lit,check_date:shelter,wheelchair:description,local_ref,covered,note,ref,departures_board,fixme,comment,check_date:tactile_paving,toilets:wheelchair,bicycle_parking,check_date:bench,source,line,surface;;;;;;;;;;;;;;;;;;
0,yes,bus_stop,5605;",Universitätsallee,HVV,KVG,platform,""Lüneburg, Scharnhorststraße (Ost)"",no,yes,53.2300910,10.4052614,270544778,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;
"1,,bus_stop,,Bei Mönchsgarten,HVV,KVG,platform,""Lüneburg, Bei Mönchsgarten"",no,limited,53.2529278,10.3904939,293938387,no,5009";ASM,no,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;
92,yes,bus_stop,5002;5003;5005;5007;5009;5010;5011;5013;5014;5015;5200;5202;5405;5600;5601;5605;5606;5700;" 5702,Wallstraße (Theater),HVV,KVG,platform,""Lüneburg, Wallstraße (Theater)"",no,,53.2457891,10.4083271,415596184,no,,yes,yes,,,,,,,,,,,,,,,,,,,,"
93,yes,bus_stop,5005;"5919,Am Wildgehege,HVV,KVG,platform,""Lüneburg, Am Wildgehege"",,,53.2687703,10.3891976,415971818,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;
94,yes,bus_stop,5005;5402;"5405,Laffertstraße,HVV,KVG,platform,""Lüneburg, Laffertstraße"",no,,53.2553445,10.3943276,415971819,,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;
95,yes,bus_stop,5002;5010;"5014,Markt,HVV,KVG,platform,""Lüneburg, Markt"",no,yes,53.25078,10.40891,415971821,no,,no,yes,,,,yes,,Kein Kasseler Bord vorhanden,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;
96,yes,bus_stop,5002;5005;5009;5010;5013;5014;516;5200;"5202,Rathaus,HVV,KVG,platform,""Lüneburg, Rathaus"",yes,,53.2506572,10.4068106,415971822,,,,,,,,yes,,,,,,,,,,,,,,,,";;;;;;;;;;
97,yes,bus_stop,5001;"5012,Kefersteinstraße (UNI),HVV,KVG,platform,""Lüneburg, Kefersteinstraße/Universität"",no,yes,53.2406193,10.4102138,417024690,no,,no,yes,,,,,,Kein Kasseler Bord,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;
98,yes,bus_stop,5001;"5012,Kefersteinstraße (UNI),HVV,KVG,platform,""Lüneburg, Kefersteinstraße/Universität"",yes,yes,53.2411862,10.4103360,417024692,no,,no,yes,,,,,2021-09-14,Kein Kasseler Bord,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;
"99,yes,bus_stop,5012,Pulverweg (Nord),HVV,KVG,platform,""Lüneburg, Pulverweg Nord"",no,,53.2510755,10.4224499,420486169,,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
100,yes,bus_stop,5002;5010;" 5014,Bürgeramt,HVV,KVG,platform,""Lüneburg, Bürgeramt"",no,yes,53.2523442,10.4095164,430086360,yes,,yes,yes,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;
"101,yes,bus_stop,5014,Am Kreideberg,HVV,KVG,platform,""Lüneburg, Am Kreideberg"",no,yes,53.2551640,10.4042363,430086361,,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"102,yes,bus_stop,5014,Stöteroggestraße (Süd),HVV,KVG,platform,""Lüneburg, Stöteroggestraße (Süd)"",no,,53.2556211,10.4020549,430086363,,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"103,yes,bus_stop,5014,Boizenburger Straße,HVV,KVG,platform,""Lüneburg, Boizenburger Straße"",no,limited,53.2574691,10.3989629,430086365,no,,no,yes,,,,no,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"104,yes,bus_stop,5014,Thorner Straße (West),HVV,KVG,platform,""Lüneburg, Ostpreußenring"",no,,53.2585943,10.3943921,430086366,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
105,,bus_stop,5014;5405;5404;5919;" 5402,Thorner Platz,HVV,KVG,platform,""Lüneburg, Thorner Platz"",no,,53.2595982,10.3997927,430086367,yes,,no,yes,,,,,,Kein Kasseler Bord,,,,,,,,,,,,,,";;;;;;;;;;;;;;
"106,,bus_stop,5014,Salzwedeler Straße,HVV,KVG,platform,""Lüneburg, Salzwedeler Straße"",no,,53.2606612,10.4032549,430086368,no,,no,yes,,,,no,2021-07-27,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"107,,bus_stop,5014,Elbinger Straße,HVV,KVG,platform,""Lüneburg, Elbinger Straße"",no,,53.2627146,10.4028514,430086370,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"108,,bus_stop,,Dessauer Straße,HVV,KVG,platform,""Lüneburg, Dessauer Straße"",no,,53.2641491,10.4014620,430086371,no,5014";ASM,no,no,,,,no,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;
"109,,bus_stop,5014,Magdeburger Straße,HVV,KVG,platform,""Lüneburg, Magdeburger Straße"",no,,53.2665580,10.3993732,430086372,no,,yes,yes,,,,yes,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"110,,bus_stop,,Stöteroggestraße (Nord),HVV,KVG,platform,""Lüneburg, Stöteroggestraße (Nord)"",yes,,53.2644566,10.3993537,430086374,yes,5014";ASM,yes,yes,,,,yes,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;
"111,,bus_stop,5014,Elbinger Straße,HVV,KVG,platform,""Lüneburg, Elbinger Straße"",yes,,53.2623257,10.4027379,430086375,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"112,,bus_stop,5014,Salzwedeler Straße,HVV,KVG,platform,""Lüneburg, Salzwedeler Straße"",yes,,53.2601101,10.4029658,430086376,yes,,no,yes,,,,yes,2021-07-14,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
113,,bus_stop,5014;5405;5404;5919;" 5402,Thorner Platz,HVV,KVG,platform,""Lüneburg, Thorner Platz"",yes,,53.2596588,10.3995589,430086377,yes,,no,yes,,,,,2020-11-22,Kein Kasseler Bord,,,,,,,,,,,,,,";;;;;;;;;;;;;;
"114,yes,bus_stop,5014,Thorner Straße (West),HVV,KVG,platform,""Lüneburg, Ostpreußenring"",no,,53.2587027,10.3942871,430086378,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"115,yes,bus_stop,5014,Boizenburger Straße,HVV,KVG,platform,""Lüneburg, Boizenburger Straße"",no,,53.2575315,10.3990604,430086380,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"116,yes,bus_stop,5014,Stöteroggestraße (Süd),HVV,KVG,platform,""Lüneburg, Stöteroggestraße (Süd)"",no,,53.2555911,10.4018548,430086382,,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"117,yes,bus_stop,5014,Am Kreideberg,HVV,KVG,platform,""Lüneburg, Am Kreideberg"",no,,53.2550643,10.4029039,430086383,,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
118,yes,bus_stop,5002;5005;5009;5010;5013;5014;516;5200;"5202,Rathaus,HVV,KVG,platform,""Lüneburg, Rathaus"",yes,limited,53.2506970,10.4064691,430086384,yes,,,,,,,yes,,,,,,,,,,,,,,,,";;;;;;;;;;
"119,yes,bus_stop,,Wallstraße,HVV,KVG,platform,""Bardowick, Wallstraße"",no,,53.3009499,10.3864893,455975995,no,5002";5402;5405,no,,,,,,2021-05-04,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;
"120,yes,bus_stop,,Wallstraße,HVV,KVG,platform,""Bardowick, Wallstraße"",no,,53.3007034,10.3866257,455975996,yes,5402";5405,no,,,,,,2021-05-04,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;
"121,,bus_stop,,Elba,HVV,KVG,platform,""Adendorf, Elba"",no,,53.2961666,10.4271323,455998982,no,,no,no,,,,no,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
122,,bus_stop,,Finkenweg,HVV,PVG,platform,,no,limited,53.2704586,10.3619305,470357781,no,5009;5404;ASM,no,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;
123,,bus_stop,5100;5120;"5010,Lilienthalstraße,HVV,KVG,platform,""Lüneburg, Lilientalstraße"",no,,53.2437212,10.4599879,471792857,no,5100";5120;5010,no,no,20141026,no,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;
124,,bus_stop,5100;5120;"5010,Lilienthalstraße,HVV,KVG,platform,""Lüneburg, Lilientalstraße"",no,,53.2439929,10.4598425,471792859,no,5100";5120;5010,no,no,20141026,no,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;
125,,bus_stop,5010;5100;"5120,Von-Stern-Straße,HVV,KVG,platform,""Lüneburg, Von-Stern-Straße"",no,,53.2457330,10.4625961,471794057,no,5010";5100;5120,no,no,20141026,no,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;
126,,bus_stop,5010;5100;"5120,Von-Stern-Straße,HVV,KVG,platform,""Lüneburg, Von-Stern-Straße"",no,,53.2461870,10.4625665,471794058,no,5010";5100;5120,no,no,20141026,no,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;
127,,bus_stop,5010;5100;"5120,Eisenwerk,HVV,KVG,platform,""Lüneburg, Eisenwerk"",no,,53.2493580,10.4692372,471794059,no,5010";5100;5120,no,no,20141026,no,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;
128,,bus_stop,5010;5100;"5120,Eisenwerk,HVV,KVG,platform,""Lüneburg, Eisenwerk"",no,,53.2494862,10.4706737,471794060,no,5010";5100;5120,no,no,20141026,no,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;
"129,,bus_stop,5010,Gebrüder-Heyn-Straße,HVV,KVG,platform,""Lüneburg, Gebrüder-Heyn-Straße"",no,,53.2481610,10.4656699,471796358,no,5010,no,no,20141026,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"130,,bus_stop,5010,Gebrüder-Heyn-Straße,HVV,KVG,platform,""Lüneburg, Gebrüder-Heyn-Straße"",no,,53.2485291,10.4674338,471796359,no,5010,no,no,20141026,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"131,yes,bus_stop,,Hagen-Schule,HVV,KVG,platform,""Lüneburg, Hagen/Schule"",,,53.2440639,10.4473637,471796360,,5012";5100;5120;5300;5304;5362;5402;5700,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
"132,yes,bus_stop,,Hagen-Schule,HVV,KVG,platform,""Lüneburg, Hagen/Schule"",,,53.2439653,10.4472914,471796361,,5012";5100;5120;5304;5362,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;
"133,yes,bus_stop,5012,Wacholderweg,HVV,KVG,platform,""Lüneburg, Wacholderweg"",,,53.2452459,10.4425033,471796939,,5012,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"134,yes,bus_stop,5012,Wacholderweg,HVV,KVG,platform,""Lüneburg, Wacholderweg"",,,53.2450868,10.4426751,471796940,,5012,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"135,yes,bus_stop,5012,Ahornweg,HVV,KVG,platform,""Lüneburg, Ahornweg"",,,53.2465445,10.4381585,475959143,,5012,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"136,yes,bus_stop,5012,Ahornweg,HVV,KVG,platform,""Lüneburg, Ahornweg"",,,53.2465456,10.4380611,475959146,,5012,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"137,,bus_stop,5007,Sportzentrum,HVV,,platform,""Adendorf, Sportzentrum"",yes,,53.2890979,10.4553245,481025366,yes,,no,yes,,,,,,Kein Kasseler Bord,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"138,,bus_stop,,Danziger Weg,HVV,KVG,platform,""Adendorf, Danziger Weg"",yes,,53.2817328,10.4380449,483624333,yes,,yes,,,,,no,2021-03-06,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"139,,bus_stop,,Weinbergsweg Schule,HVV,KVG,platform,""Adendorf, Weinbergsweg Schule"",yes,,53.2822368,10.4327074,483624340,yes,,no,,,,,,2020-11-15,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"140,,bus_stop,,Weinbergsweg Schule,HVV,KVG,platform,""Adendorf, Weinbergsweg Schule"",no,,53.2822383,10.4324878,483624347,no,,no,,,,,,2020-11-15,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"141,,bus_stop,,Landwehr,HVV,KVG,platform,""Lüneburg, Landwehr"",no,,53.2839468,10.3957654,522791942,,4714";5002;5402;5405;ASM,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;
"142,yes,bus_stop,,Hagemannsweg,HVV,KVG,platform,""Lüneburg, Hagemannsweg"",yes,,53.2810195,10.3983505,522795523,,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
143,,bus_stop,,Schulzentrum,HVV,,platform,,,,53.2896025,10.4967743,534267751,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;
144,,bus_stop,,Schulzentrum,HVV,,platform,,,,53.2896378,10.4965926,534267752,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;
145,,bus_stop,,Schulzentrum,HVV,,platform,,,,53.2897092,10.4964247,534267753,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;
146,,bus_stop,,Schulzentrum,HVV,,platform,,,,53.2895904,10.4969426,534267764,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;
"147,,bus_stop,5007,Von-Stauffenberg-Straße,HVV,,platform,""Adendorf, Von-Stauffenberg-Straße"",no,,53.2822140,10.4401651,546443196,yes,,no,no,,,,no,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"148,,bus_stop,,Rauher Weg,HVV,KVG,platform,""Adendorf, Rauher Weg"",yes,,53.2764870,10.4348750,550132882,yes,,yes,,,,,,2021-03-20,,,,Position eingemessen,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"149,,bus_stop,,Rauher Weg,HVV,KVG,platform,""Adendorf, Rauher Weg"",no,,53.2767030,10.4351730,550132886,no,,yes,no,,,,,2021-03-20,,,,Position eingemessen,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"150,,bus_stop,,Im Sande,HVV,KVG,platform,""Bardowick, Im Sande"",no,,53.2970004,10.3858532,566592811,yes,5002,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"151,,bus_stop,,Kulturforum Wienebüttel,HVV,KVG,platform,""Lüneburg, Kulturforum Wienebüttel"",,limited,53.2644052,10.3744107,574834364,,5009";ASM,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;
"152,,bus_stop,,""Brietlingen, Schierenweg"",,,platform,,yes,,53.3141351,10.4343011,577733851,yes,5900";5903;5904;ASM,yes,yes,,,,yes,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
"153,yes,bus_stop,,Schwarzer Weg,HVV,KVG,platform,""Lüneburg, Schwarzer Weg"",no,,53.2715467,10.4283840,595316447,no,,no,yes,,,,yes,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"154,,bus_stop,,Gut Olm,HVV,KVG,platform,""Lüneburg, Gut Olm"",,,53.2614926,10.4541438,596510627,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"155,,bus_stop,,Gut Olm,HVV,KVG,platform,""Lüneburg, Gut Olm"",no,,53.2616850,10.4549871,596510629,,,,,,,,,,,,,,,,,""hier fahren auch diese busse ab: 5007,5110,5901,5901,5918,5931,ASM(Anruf Sammel Mobiel 04131/53344)"",,,,,,,";;;;;;;;;;;;;;;;;;
"156,yes,bus_stop,,Abzweigung Ebensberg,HVV,KVG,platform,""Lüneburg, Abzweigung Ebensberg"",,,53.2637503,10.4600774,596510630,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"157,yes,bus_stop,,Abzweigung Ebensberg,HVV,KVG,platform,""Lüneburg, Abzweigung Ebensberg"",,,53.2651360,10.4622001,596510632,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"158,yes,bus_stop,,Erbstorfer Landstraße,HVV,KVG,platform,""Erbstorf, Erbstorfer Landstraße"",no,,53.2739834,10.4778683,596510634,,5110";5901;5925;5931;AST,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;
"159,yes,bus_stop,,Erbstorfer Landstraße,HVV,KVG,platform,""Erbstorf, Erbstorfer Landstraße"",no,,53.2740163,10.4776582,596510635,,5104";5110;5901;5925;5931;AST,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;
"160,,bus_stop,,Hölderlinstraße,HVV,KVG,platform,""Lüneburg, Hölderlinstraße"",,,53.2608865,10.4436723,598165240,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"161,yes,bus_stop,5010,Ostlandring,HVV,KVG,platform,""Lüneburg, Ostlandring"",no,,53.2420810,10.4399979,734659529,no,,no,yes,20141026,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
162,yes,bus_stop,5010,Freibad,HVV,KVG,platform,Lüneburg Freibad,no,,53.2409945,10.4423226,734659530,no,,no,no,20141210,no,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;
"163,,bus_stop,,Kreuzkamp,HVV,KVG,platform,""Adendorf, Kreuzkamp"",no,,53.2864040,10.4364118,741395439,no,,no,,,,,,2021-05-08,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"164,,bus_stop,,Robert-Koch-Straße,HVV,KVG,platform,""Adendorf, Robert-Koch-Straße"",no,,53.2840109,10.4528497,741395458,no,,no,,,,,,,,,,,,,Lage geschätzt,,,,,,,,";;;;;;;;;;;;;;;;;;
"165,,bus_stop,5007,Friedhof,HVV,KVG,platform,""Adendorf, Dorfstraße Friedhof"",no,,53.2855037,10.4481389,741395467,no,,no,,,,,,2020-12-30,,,,,,,,,2020-12-30,,,,,,";;;;;;;;;;;;;;;;;;
"166,,bus_stop,,Heinrich Heine Siedlung,HVV,KVG,platform,""Adendorf, Heinrich Heine Siedlung"",yes,,53.2786754,10.4648710,741395484,no,5007";5925;AST,no,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;
"167,,bus_stop,5007,An der Bünte,HVV,KVG,platform,""Adendorf, An der Bünte"",no,,53.2803412,10.4601337,741395489,no,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"168,,bus_stop,,Heinrich-Hille-Straße,HVV,KVG,platform,""Adendorf, Heinrich-Hille-Straße"",yes,,53.2861609,10.4428154,741395495,yes,,no,,,,,,2021-05-08,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"169,,bus_stop,,Weinbergsweg,HVV,KVG,platform,""Adendorf, Weinbergsweg"",no,,53.2853082,10.4327000,741395501,yes,,no,yes,,,,yes,2021-07-07,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"170,,bus_stop,,An der Bünte,HVV,KVG,platform,""Adendorf, An der Bünte"",no,,53.2811989,10.4583251,741395507,no,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"171,,bus_stop,,Heinrich Heine Siedlung,HVV,KVG,platform,""Adendorf, Heinrich Heine Siedlung"",yes,,53.2788521,10.4645495,741395512,yes,5007";5918;5920;5925;AST,no,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;
"172,,bus_stop,,Kreuzkamp,HVV,KVG,platform,""Adendorf, Kreuzkamp"",no,,53.2863033,10.4364719,741395525,no,,no,,,,,,2021-05-08,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"173,,bus_stop,5007,Heinrich-Hille-Straße,HVV,,platform,""Adendorf, Heinrich-Hille-Straße"",no,,53.2860845,10.4427744,741395527,no,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"174,,bus_stop,,Robert-Koch-Straße,HVV,KVG,platform,""Adendorf, Robert-Koch-Straße"",no,,53.2839445,10.4528145,741395545,no,,no,,,,,,,,,,,,,Lage geschätzt,,,,,,,,";;;;;;;;;;;;;;;;;;
"175,,bus_stop,,Friedhof,HVV,KVG,platform,""Adendorf, Friedhof"",yes,,53.2858713,10.4475562,741395550,yes,5007";5903;5918;5925,no,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
"176,,bus_stop,,Weinbergsweg,HVV,KVG,platform,""Adendorf, Weinbergsweg"",no,,53.2853241,10.4327963,741395555,no,,no,yes,,,,yes,2021-03-28,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"177,yes,bus_stop,,Goebelstraße,HVV,KVG,platform,""Lüneburg, Goebelstraße"",no,,53.2686600,10.4167169,795056872,,5005";ASM,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;
"178,yes,bus_stop,,Grüner Weg,HVV,KVG,platform,""Adendorf, Grüner Weg"",no,,53.2729470,10.4323520,800462877,no,,no,yes,,,,no,,,,,Position eingemessen,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"179,,bus_stop,,Lindenweg,HVV,KVG,platform,""Adendorf, Lindenweg"",,,53.2730333,10.4380841,800463848,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"180,,bus_stop,,Lindenweg,HVV,KVG,platform,""Adendorf, Lindenweg"",,,53.2728009,10.4368635,800464535,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"181,,bus_stop,,""Brietlingen, Stettiner Ring"",,,platform,,yes,,53.3134023,10.4441547,855121275,yes,5903";5904,no,,,,,yes,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;
"182,,bus_stop,,Wilhelm-Hänel-Weg,HVV,KVG,platform,""Lüneburg, Wilhelm-Hänel-Weg"",no,,53.2686790,10.4050523,869281361,no,5002";5402;5405;ASM,no,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
"183,,bus_stop,,Sternkamp,HVV,KVG,platform,""Lüneburg, Sternkamp"",no,,53.2669292,10.4057395,869281373,no,5002";5402;5405;ASM,no,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
"184,,bus_stop,,Kirchweg,HVV,KVG,platform,""Adendorf, Kirchweg"",no,,53.2786980,10.4363740,871256635,no,,no,yes,,,,no,2021-02-27,,,,Position eingemessen,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"185,,bus_stop,,Kirchweg,HVV,KVG,platform,""Adendorf, Kirchweg"",yes,,53.2791530,10.4369940,871256637,yes,,no,yes,,,,yes,,,,,Position eingemessen,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"186,yes,bus_stop,5012,Bunsenstraße,HVV,KVG,platform,""Lüneburg, Bunsenstraße"",yes,,53.2495011,10.4412818,871730916,yes,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"187,yes,bus_stop,5012,Bachstraße,HVV,KVG,platform,""Lüneburg, Bachstraße"",no,,53.2473918,10.4400425,871731608,no,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"188,,bus_stop,,Volgershall/UNI,HVV,KVG,platform,""Lüneburg, Volgershall/UNI"",no,yes,53.2493490,10.3840653,915967687,no,,yes,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"189,yes,bus_stop,""5920, 5003"",Städtisches Klinikum,HVV,KVG,platform,""Lüneburg, Städtisches Klinikum"",yes,yes,53.2407753,10.3973060,924513262,yes,,no,,,,,,,,,,,,,,,,yes,,,,,";;;;;;;;;;;;;;;;;;
"190,yes,bus_stop,""5007, 5003"",Städtisches Klinikum,HVV,KVG,platform,""Lüneburg, Städtisches Klinikum"",no,yes,53.2408905,10.3972543,924513361,no,,no,yes,,,,,,Kein Kasseler Bord,,,,,,,,,yes,,,,,";;;;;;;;;;;;;;;;;;
"191,,bus_stop,,Elba,HVV,KVG,platform,""Adendorf, Elba"",no,,53.2967091,10.4269898,965065977,no,,no,no,,,,no,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"192,,bus_stop,5012,Behördenzentrum (Ost),HVV,KVG,platform,""Lüneburg, Behördenzentrum (Ost)"",yes,,53.2509696,10.4313902,1039463414,,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"193,,bus_stop,,Psychiatrische Klinik,HVV,KVG,platform,""Lüneburg, Psychiatrische Klinik"",yes,limited,53.2543494,10.3880794,1048704480,,5009";ASM,no,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;
"194,,bus_stop,,Bei der Pferdehütte,HVV,KVG,platform,""Lüneburg, Bei der Pferdehütte"",yes,,53.2741646,10.4047332,1108268733,yes,5005";ASM,no,yes,,,,yes,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;
"195,,bus_stop,,Alec-Moore-Straße,HVV,KVG,platform,""Lüneburg, Alec-Moore-Straße"",no,,53.2465139,10.3812801,1116593359,no,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"196,,bus_stop,,Hölderlinstraße,HVV,KVG,platform,""Lüneburg, Hölderlinstraße"",no,,53.2607287,10.4451929,1116593361,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"197,yes,bus_stop,,Am Bargenturm,HVV,KVG,platform,""Lüneburg, Am Bargenturm"",no,limited,53.2452478,10.3985975,1116593365,no,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"198,,bus_stop,,Heidkoppelweg,HVV,KVG,platform,""Lüneburg, Heidkoppelweg"",,,53.2613986,10.4689526,1116593369,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"199,,bus_stop,,Memeler Straße,HVV,KVG,platform,""Lüneburg, Memeler Straße"",,,53.2602671,10.4680489,1116593371,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"200,,bus_stop,,William-Watt-Straße,HVV,KVG,platform,""Lüneburg, William-Watt-Straße"",yes,,53.2448537,10.3806900,1116593375,yes,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"201,yes,bus_stop,,Allensteiner Straße,HVV,KVG,platform,""Lüneburg, Allensteiner Straße"",,,53.2641335,10.4634160,1116593381,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"202,yes,bus_stop,,Alec-Moore-Straße,HVV,KVG,platform,""Lüneburg, Alec-Moore-Straße"",no,,53.2467615,10.3820658,1116593384,no,,no,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"203,yes,bus_stop,,Allensteiner Straße,HVV,KVG,platform,""Lüneburg, Allensteiner Straße"",,,53.2639573,10.4633933,1116593386,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
