name,passengers
Universitätsallee,5
Bei Mönchsgarten,4
Hermann-Löns-Straße,5
Wilhelm-Leuschner-Straße,12
Graf-von-Moltke-Straße,7
St.-Stephanus-Platz,2
Konrad-Adenauer-Straße,9
Waldfriedhof,5
Schäferfeld,9
Kurt-Schumacher-Straße,6
Blümchensaal,10
Theodor-Heuss-Straße,6
Venusberg (Johanneum),4
Ziegelkamp,2
Am Schützenplatz,8
Wichernstraße,4
Anna-Vogeley-Heim,0
Am Elsenbruch,1
Röntgenstraße / Kirche,8
Röntgenstraße,4
Planckstraße,2
Reichenbachplatz,1
Bürgeramt,14
Markt,0
Meisterweg,0
Hansestraße,5
Henningstraße,6
Pulverweg (Nord),8
Theodor-Haubach-Straße,8
Bülows Kamp,7
Klosterkamp,4
Hermann-Wagner-Straße,3
Hinrich-Wilhelm-Kopf-Straße,5
Am Sande,9
Oedeme Dorf,13
Im Kamp,3
Scharnhorststraße/DJH,3
Blücherstraße,6
Imkerstieg,6
MTV-Platz,4
Kurpark,7
Uelzener Straße (Kurzentrum),8
Munstermannskamp,3
Osterwiese,4
Klosterweg,4
Ginsterweg,8
Am Schwalbenberg,4
Wallstraße (Theater),5
Postamt,3
Hasenburg,5
Eintracht Sportplatz,4
Am Bahnhof Rettmer,6
Wiesengrund,5
Pilgerpfad,10
Am Wischfeld,9
Hessenweg (Mitte),5
Am Bäckfeld,7
Häcklinger Weg,5
Stadttheater,9
Sültenweg,5
Am Grasweg,5
Jägerstraße,3
Johanna-Stegen-Straße,1
Vor dem Neuen Tore,3
Dörnbergstraße,6
Witzendorffstraße,6
Ebelingweg,9
Naruto-Straße,9
Krähornsberg,3
Teilfeld,2
Wilhelm-Hänel-Weg,7
Am Wildgehege,7
Laffertstraße,6
Schomakerstraße,8
Am Springintgut,3
Am Graalwall,4
Neue Sülze,7
Lambertiplatz,11
Rathaus,5
Kefersteinstraße (UNI),3
Schützenstraße,0
Am Kreideberg,3
Stöteroggestraße (Süd),7
Boizenburger Straße,5
Thorner Straße (West),3
Thorner Platz,9
Salzwedeler Straße,4
Elbinger Straße,7
Dessauer Straße,6
Magdeburger Straße,7
Stöteroggestraße (Nord),4
Hasenburger Weg,5
Lilienthalstraße,4
Von-Stern-Straße,8
Eisenwerk,1
Gebrüder-Heyn-Straße,1
Hagen-Schule,5
Wacholderweg,3
Ahornweg,1
Landwehr,7
Hagemannsweg,3
Rote Schleuse,4
Bernhard-Riemann-Straße,8
Kulturforum Wienebüttel,5
Schwarzer Weg,6
Gut Olm,4
Abzweigung Ebensberg,8
Hölderlinstraße,6
Ostlandring,4
Freibad,4
Goebelstraße,1
Otto-Brenner-Straße (Kehre),5
Sternkamp,4
Bunsenstraße,3
Bachstraße,1
Rosenkamp,5
Schmiedestraße,9
Rehrweg,4
Volgershall/UNI,3
Städtisches Klinikum,2
Behördenzentrum (Ost),0
Psychiatrische Klinik,6
Bei der Pferdehütte,1
Alec-Moore-Straße,2
Am Bargenturm,6
Heidkoppelweg,1
Memeler Straße,4
William-Watt-Straße,3
Allensteiner Straße,7
Jüttkenmoor,7
Am Ziegeleiteich,5
Steinweg,0
Friedrich-Ludwig-Jahn-Straße,6
Rotes Tor,8
Goethestraße,6
Hagen Wendeplatz,0
Hopfengarten,9
Wielandstraße,3
Hans-Steffens-Weg,0
Gaußstraße,5
Heinrich-Böll-Straße,2
Carl-von-Ossietzky-Straße,4
Otto-Brenner-Straße,2
Flugplatz,5
Walter-Bötcher-Straße,3
Stadtkoppel,3
Kurt-Höbold-Straße,5
Richard-Brauer-Straße,1
Elso-Klöver-Straße,3
Gellersstraße,10
Wilhelm-Fressel-Straße,4
Schildsteinweg,3
Finanzamt,4
Auf dem Schmaarkamp,2
Auf der Hude,2
Tennispark,3
Brockwinkler Weg,6
Neu Häcklingen,3
Zeltberg,0
Pumpenstation,4
Vrestorfer Weg,8
Teufelsküche,15
Ernst-Braune-Straße,7
Leuphana,3
Lüner Rennbahn,4
Schlachthof,8
Auf den Blöcken,4
Bessemerstraße,4
SZ Kaltenmoor,7
Rettmer (Mitte),2
Kloster Lüne,5
Hasenburger Berg,7
Zentralfriedhof,7
Am Eiskeller,11
Auf dem Knieberg,3
Heidkamp,5
Meinekenhop,12
Ringstraße,6
Soltauer Straße (Kurzentrum),5
Clamartpark,8
Hasenburger Schule,5
Rosenkamp Wendeplatz,12
Övelgönner Weg,4
Königsberger Straße,1
Am Graben,2
Böcklerstraße/TÜV,1
Eisenbahnbrücke,1
Goseburgstraße,3
Ilmenaucenter,0
Konrad-Zuse-Allee,8
EDEKA,1
Brockwinklerweg,0
An der Roten Bleiche (Universität),9
Feldstraße (Universität),8
GHS Kreideberg,3
Herderschule,5
Spechtsweg,9
Kanalbrücke,13
Veilchenring,2
Tartuer Platz,4
Konrad-Adenauer-Straße Ost,9
