4,node,957142825,"Artlenburg, Grünstraße",POINT (10.4921805 53.3719336),0
6,node,298511484,Hermann-Löns-Straße,POINT (10.4357546 53.2611082),0
12,node,1872332223,Schäferfeld,POINT (10.4287246 53.2378491),0
17,node,301860995,Ziegelkamp,POINT (10.4276158 53.2474105),0
19,node,309164430,"Deutsch Evern, Triftstraße",POINT (10.4383763 53.2028361),0
22,node,4133634392,"Thomasburg, Radenbecker Weg",POINT (10.6537654 53.2297167),0
33,node,322053484,Planckstraße,POINT (10.404717 53.2192047),0
35,node,333248611,Reichenbachplatz,POINT (10.4106941 53.2531248),0
40,node,705465966,Hansestraße,POINT (10.4261391 53.2555935),0
45,node,414685401,Klosterkamp,POINT (10.4460096 53.2292609),0
48,node,452997887,"Handorf, Grundschule",POINT (10.3467072 53.3419322),0
49,node,2301671297,Im Kirchfelde,POINT (10.3196032 53.2800856),0
52,node,7173992955,Oedeme Dorf,POINT (10.3769693 53.228942),0
56,node,249238920,Imkerstieg,POINT (10.388762 53.2746341),0
57,node,387439255,Neue Straße,POINT (10.431328 53.274525),0
62,node,305382797,Munstermannskamp,POINT (10.4052689 53.232103),0
70,node,389948830,Eintracht Sportplatz,POINT (10.3854737 53.2211913),0
73,node,2618162533,Pilgerpfad,POINT (10.3783934 53.2099019),0
79,node,268415869,Stadttheater,POINT (10.4076949 53.2439859),0
80,node,2907063685,Sültenweg,POINT (10.3929476 53.244192),0
82,node,382390327,Jägerstraße,POINT (10.3847644 53.2489566),0
92,node,317133890,Am Wildgehege,POINT (10.3891011 53.2686373),0
94,node,293976961,Schomakerstraße,POINT (10.3996894 53.2540821),0
102,node,385545644,Bahnhof,POINT (10.4336107 53.2000625),0
103,node,385545626,Von-Kleist-Weg,POINT (10.4311623 53.1971633),0
105,node,1834313713,"Deutsch Evern, Friedhof",POINT (10.4232358 53.1924397),0
112,node,7462422450,"Deutsch Evern, Tiergartenstraße",POINT (10.4293826 53.2061751),0
113,node,309179087,"Deutsch Evern, Birkenweg",POINT (10.4432816 53.2042662),0
114,node,5254285882,Schützenstraße,POINT (10.4452134 53.2035664),0
115,node,2316338604,Im Alten Dorfe,POINT (10.2968669 53.2083215),0
118,node,500905961,Boizenburger Straße,POINT (10.3989629 53.2574691),0
121,node,253248083,Salzwedeler Straße,POINT (10.4032549 53.2606612),0
125,node,534870781,Stöteroggestraße (Nord),POINT (10.3993537 53.2644566),0
128,node,1678365436,Wallstraße,POINT (10.3864893 53.3009499),0
141,node,301874635,Ahornweg,POINT (10.4381585 53.2465445),0
147,node,2869209506,Sportzentrum,POINT (10.4553245 53.2890979),0
148,node,476600749,Grundschule,POINT (10.5095283 53.2926817),0
149,node,304638989,Weinbergsweg Schule,POINT (10.4327074 53.2822368),0
151,node,489755319,Jürgenstorfer Straße,POINT (10.5973461 53.3233128),0
162,node,417443430,Schulzentrum,POINT (10.4967743 53.2896025),0
167,node,244401296,Von-Stauffenberg-Straße,POINT (10.4401651 53.282214),0
168,node,301562193,Rauher Weg,POINT (10.434875 53.276487),0
183,node,290823819,"Wendewisch, Campingplatz",POINT (10.6501668 53.3587971),0
185,node,317985520,Leestahl 2,POINT (10.6997246 53.2079337),0
190,node,413541248,"Horndorf, Zur Doven Elbe",POINT (10.5885781 53.2144044),0
192,node,1509822736,Forsthaus,POINT (10.3455259 53.1658521),0
195,node,5239244504,"Oerzen, Fliederstraße",POINT (10.327642 53.1921149),0
201,node,2117470702,Auf der Hausstelle,POINT (10.4764512 53.217232),0
203,node,1736935361,Ostlandring,POINT (10.4399979 53.242081),0
205,node,7087531166,Kreuzkamp,POINT (10.4364118 53.286404),0
206,node,395382564,Robert-Koch-Straße,POINT (10.4528497 53.2840109),0
207,node,178823219,Friedhof,POINT (10.4481389 53.2855037),0
208,node,392592179,Heinrich Heine Siedlung,POINT (10.464871 53.2786754),0
210,node,3082975140,Heinrich-Hille-Straße,POINT (10.4428154 53.2861609),0
211,node,1119349016,Weinbergsweg,POINT (10.4327 53.2853082),0
213,node,9029022165,"Radenbeck, Dorfstraße",POINT (10.6301273 53.224299),0
215,node,376360688,"Brietlingen, Am Sportplatz",POINT (10.436449 53.3191189),0
219,node,301562172,Lindenweg,POINT (10.4380841 53.2730333),0
221,node,382011053,"Brietlingen, Stettiner Ring",POINT (10.4441547 53.3134023),0
224,node,301881047,Bunsenstraße,POINT (10.4412818 53.2495011),0
234,node,1524824915,Melbeck Grundschule,POINT (10.404557 53.1787734),0
241,node,359603064,Am Fuchsberg,POINT (10.3473817 53.2531473),0
242,node,336245617,Im Westerfelde,POINT (10.349476 53.2522281),0
245,node,386775036,Am Bruch,POINT (10.3319859 53.3020685),0
247,node,318656446,Alec-Moore-Straße,POINT (10.3812801 53.2465139),0
249,node,318404239,Heidkoppelweg,POINT (10.4689526 53.2613986),0
253,node,275642168,"Erbstorf, Wendeplatz",POINT (10.4763614 53.2737862),0
257,node,262620087,Schnellenberger Weg,POINT (10.3639159 53.2477958),0
262,node,3082975156,Im Gutspark,POINT (10.4468141 53.286184),0
263,node,430344915,Virchowstraße,POINT (10.4469601 53.2814563),0
264,node,409100826,Teichaue,POINT (10.449058 53.2865534),0
265,node,312184964,Moorchaussee,POINT (10.4478643 53.2889918),0
266,node,3119436266,Kastanienallee,POINT (10.454844 53.2839238),0
267,node,3119436360,Katzenweg,POINT (10.4572671 53.2868678),0
268,node,7607589705,Friedrich-Ludwig-Jahn-Straße,POINT (10.4083952 53.235035),0
271,node,208986248,Hagen Wendeplatz,POINT (10.4519518 53.2428075),0
277,node,275907714,Carl-von-Ossietzky-Straße,POINT (10.4015929 53.2275296),0
279,node,119994939,Flugplatz,POINT (10.4592049 53.2448717),0
280,node,373161853,Walter-Bötcher-Straße,POINT (10.4459578 53.2455633),0
284,node,3699972417,Elso-Klöver-Straße,POINT (10.477347 53.2465791),0
289,node,196043670,Schildsteinweg,POINT (10.3914278 53.2407532),0
297,node,1588318071,Auf der Hude,POINT (10.4136152 53.2583328),0
314,node,387439300,Königsberger Weg,POINT (10.4398725 53.2834046),0
315,node,445774035,Kornblumenweg,POINT (10.4327786 53.2876679),0
319,node,287436861,Am Stadtberg,POINT (10.3588328 53.2733993),0
325,node,319969924,Saatbau,POINT (10.7403748 53.2850418),0
329,node,6445357812,"Nindorf bei Bleckede, L222",POINT (10.7428188 53.2618189),0
331,node,319974894,"Bleckede, Waldfrieden",POINT (10.7436216 53.2717076),0
335,node,2307579589,"Artlenburg, Elbdeich",POINT (10.4826681 53.3751486),0
337,node,3749693091,"Rullstorf, Am Neetzekanal",POINT (10.5589707 53.2965617),0
340,node,7623285536,"Brietlingen, Ort",POINT (10.4452223 53.3302669),0
348,node,2269708054,"Hittbergen, Roggenberg",POINT (10.5960677 53.3481539),0
354,node,322526004,Am Dorfplatz,POINT (10.624862 53.2653005),0
