name,passengers
Abzweigung Bennerstedt,8
Lüneburger Straße,6
"Karze, An den Hauskoppeln",3
Universitätsallee,11
"Artlenburg, Grünstraße",5
Bei Mönchsgarten,6
Hermann-Löns-Straße,0
Wilhelm-Leuschner-Straße,6
Graf-von-Moltke-Straße,8
St.-Stephanus-Platz,10
Konrad-Adenauer-Straße,14
Waldfriedhof,13
Schäferfeld,6
Kurt-Schumacher-Straße,8
Blümchensaal,20
Theodor-Heuss-Straße,4
Venusberg (Johanneum),14
Ziegelkamp,6
Am Schützenplatz,7
"Deutsch Evern, Triftstraße",5
Becklingen,5
"Radbruch, Schäfer-Ast-Straße",0
"Thomasburg, Radenbecker Weg",6
Abzweig Dumstorf,5
"Köstorf, Abzw. Barskamp",3
Abzweig Radenbeck,3
Mitte / B216,3
Breetzer Straße,3
Wichernstraße,6
Anna-Vogeley-Heim,8
Am Elsenbruch,9
Röntgenstraße / Kirche,11
Röntgenstraße,5
Planckstraße,3
Neetzebrücke,5
Reichenbachplatz,7
Bürgeramt,0
"Radenbeck, Siedlung",4
Markt,7
Meisterweg,11
Hansestraße,13
Henningstraße,9
Pulverweg (Nord),8
Theodor-Haubach-Straße,13
Bülows Kamp,10
Klosterkamp,11
Hermann-Wagner-Straße,16
Hinrich-Wilhelm-Kopf-Straße,11
"Handorf, Grundschule",8
Im Kirchfelde,10
"Barum, Am Sportplatz",10
Am Sande,15
Oedeme Dorf,8
Im Kamp,5
Scharnhorststraße/DJH,5
Blücherstraße,9
Imkerstieg,6
Neue Straße,2
Danziger Weg,2
MTV-Platz,13
Kurpark,12
Uelzener Straße (Kurzentrum),14
Munstermannskamp,10
Osterwiese,5
Klosterweg,8
Ginsterweg,10
Am Schwalbenberg,15
Wallstraße (Theater),13
Postamt,11
Hasenburg,0
Eintracht Sportplatz,4
Am Bahnhof Rettmer,14
Wiesengrund,10
Pilgerpfad,13
Am Wischfeld,12
Hessenweg (Mitte),7
Am Bäckfeld,12
Häcklinger Weg,10
B 4 Parkplatz,4
Stadttheater,8
Sültenweg,0
Am Grasweg,10
Jägerstraße,5
Johanna-Stegen-Straße,9
Vor dem Neuen Tore,8
Dörnbergstraße,9
Witzendorffstraße,15
Ebelingweg,10
Naruto-Straße,9
Krähornsberg,12
Teilfeld,11
Wilhelm-Hänel-Weg,6
Am Wildgehege,9
Laffertstraße,10
Schomakerstraße,5
Am Springintgut,14
Am Graalwall,15
Neue Sülze,16
Lambertiplatz,14
Rathaus,19
Kefersteinstraße (UNI),10
Gut Willerding,7
Bahnhof,7
Von-Kleist-Weg,4
"Deutsch Evern, Fritz-Reuter-Straße",4
"Deutsch Evern, Friedhof",8
Deutsch Everner Weg,5
"Deutsch Evern, An der Ilmenau",6
"Deutsch Evern, Wandelfeld",4
"Deutsch Evern, Finkenstieg",3
"Deutsch Evern, Petersberg",0
"Deutsch Evern, Am Tiergarten",6
"Deutsch Evern, Tiergartenstraße",6
"Deutsch Evern, Birkenweg",3
Schützenstraße,7
Im Alten Dorfe,12
Am Kreideberg,8
Stöteroggestraße (Süd),9
Boizenburger Straße,8
Thorner Straße (West),7
Thorner Platz,13
Salzwedeler Straße,9
Elbinger Straße,2
Dessauer Straße,11
Magdeburger Straße,8
Stöteroggestraße (Nord),0
Brücke,10
Hasenburger Weg,8
Wallstraße,9
Elba,0
Landwehrplatz,0
Bardowicker Straße,2
Lübbelau,7
Finkenweg,13
"Lemgrabe, Am Hasenberg",5
Lilienthalstraße,8
Von-Stern-Straße,6
Eisenwerk,6
Gebrüder-Heyn-Straße,8
Hagen-Schule,3
Wacholderweg,4
Ahornweg,6
Adendorfer Straße,0
Boltersener Straße,9
"Boltersen, Rullstorfer Straße",5
Nutzfelder Weg,8
Hauptstraße,6
Sportzentrum,1
Grundschule,6
Weinbergsweg Schule,2
Meisterstraße,11
Jürgenstorfer Straße,8
K 2 / Zum Bahnhof,2
Alte Dorfstraße,7
"Scharnebeck, Echemer Straße",6
"Lentenau, K28",10
"Reinstorf, Reinstorfer Kreuz",4
Im Sande,11
Kirche,13
Im Wiesengrund,11
Landwehr,6
Hagemannsweg,4
Schulzentrum,4
Floetstraße,6
Rote Schleuse,4
"Melbeck, Uelzener Straße",7
Bernhard-Riemann-Straße,10
Von-Stauffenberg-Straße,0
Rauher Weg,0
"Heiligenthal, Ort",10
In de Tüünen,9
Heiligenthaler Straße,6
"Melbeck, Danziger Straße",3
"Embsen, Siedlung",7
Kulturforum Wienebüttel,12
"Brietlingen, Schierenweg",5
"Brietlingen, Moorweg",0
Ritzkamper Weg,3
Schwarzer Weg,11
Gut Olm,13
Abzweigung Ebensberg,6
Erbstorfer Landstraße,0
Hölderlinstraße,10
"Wendewisch, Campingplatz",7
"Riecklingen, Abzweigung",11
Leestahl 2,7
Am Kirchkamp,4
Schule A,7
"Embsen, Bahnhofstraße",4
"Embsen, Querlberg",6
"Horndorf, Zur Doven Elbe",10
"Reinstorf, Hauptstraße",3
Forsthaus,8
"Barum, Abzweig Horburg",8
"Barum, Am See",14
"Oerzen, Fliederstraße",0
Hohe Luft,0
"Bavendorf, Im Dorfe",2
"Reinstorf, Am Vitusbach",8
Neumühlener Weg,6
Möhlenkamp,3
Auf der Hausstelle,5
Feuerwehr,9
Ostlandring,10
Freibad,0
Kreuzkamp,1
Robert-Koch-Straße,1
Friedhof,3
Heinrich Heine Siedlung,1
An der Bünte,1
Heinrich-Hille-Straße,1
Weinbergsweg,0
"Radenbeck, Linnenkamp",5
"Radenbeck, Dorfstraße",10
Siedlung,4
"Brietlingen, Am Sportplatz",7
Goebelstraße,3
"Echem, Schulstraße",8
Grüner Weg,0
Lindenweg,0
Otto-Brenner-Straße (Kehre),5
"Brietlingen, Stettiner Ring",7
Sternkamp,7
Kirchweg,0
Bunsenstraße,1
Bachstraße,7
Rosenkamp,15
Schmiedestraße,11
Rehrweg,17
"Wittorf, Wiesenstraße",10
Volgershall/UNI,6
Städtisches Klinikum,10
"Lüdersburg, Kirchtwiete",8
Abzweigung Jürgenstorf,5
Melbeck Grundschule,2
Gifkendorf,4
B 209,9
Gerhart-Hauptmann-Straße,10
Händelstraße,6
Alter Postweg,18
Lessingstraße,0
Am Fuchsberg,8
Im Westerfelde,14
Behördenzentrum (Ost),4
Psychiatrische Klinik,4
Am Bruch,7
Bei der Pferdehütte,4
Alec-Moore-Straße,10
Am Bargenturm,10
Heidkoppelweg,7
Memeler Straße,8
William-Watt-Straße,10
Allensteiner Straße,8
"Erbstorf, Wendeplatz",1
Jüttkenmoor,11
Am Ziegeleiteich,7
Ostlandstraße (Schule),14
Schnellenberger Weg,12
Ostlandstraße Spielplatz,11
Am Lerchenberg,7
Am Schwarzen Berg,10
Steinweg,0
Im Gutspark,0
Virchowstraße,0
Teichaue,1
Moorchaussee,0
Kastanienallee,0
Katzenweg,2
Friedrich-Ludwig-Jahn-Straße,11
Rotes Tor,8
Goethestraße,8
